company,ticker,asset_type,owner_code,date,type,amount
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,08/22/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,06/26/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,09/22/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,01/27/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,04/27/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,02/23/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,11/20/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,01/18/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,04/14/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,03/14/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,06/16/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,06/12/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,07/18/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,07/14/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,12/11/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,05/19/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,08/18/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,01/11/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,01/11/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,01/31/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,01/20/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,01/13/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,02/21/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,02/14/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,04/27/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,01/11/2023,P,1001 - $15000
